"","Gene.Name","Expressionb","Expression","Expression.1","Expression.2","Expression.3","Expression.4","Expression.5","Expression.6","Expression.7","Expression.8","Expression.9","Expression.10","Expression.11","Expression.12","Expression.13","Expression.14","Expression.15","Expression.16","Expression.17","Expression.18","Expression.19","Expression.20","Expression.21","Expression.22","Expression.23","Expression.24","Expression.25","Expression.26","Expression.27","Expression.28","Expression.29","Expression.30","Expression.31","Expression.32","Expression.33","Expression.34","Expression.35","Expression.36","Expression.37","Expression.38"
"2608","Sphk2",0.32098154,0.15658457,0.00798073,0.12283772,0.21251108,0.25484673,0.0018016,0.27076442,0.20570747,0.12169674,0.01001554,-0.0393396,0.13276003,0.06993913,0.16481627,0.15912795,0.17768885,0.01911644,0.32685052,0.09402312,0.15020265,0.23584644,0.29713524,0.20631457,0.10191496,-0.0165646,0.16791214,0.23516632,0.18989533,0.90453624,0.08264848,0.17156012,0.28597676,-0.0341041,0.07313828,0.19687167,0.3235257,0.00758636,0.32638527,0.11622883
"2902","Map2k1",0.12650206,-0.01864009,-0.057281845,0.020395075,-0.05717861,0.06758764,0.10723541,0.099090535,0.11194225,0.00989928,0.063377695,0.089166595,0.049904275,0.07528673,-0.01448058,0.038476295,0.04101122,-0.06988503,0.180606895,0.092569045,-0.07576576,-0.03909526,0.0113213,0.0476206,0.062427335,0.030120715,0.057170865,0.010872865,-0.02717964,0.031043445,0.03157974,0.04197769,0.110475095,0.155826115,0.0103309,0.04223975,-0.10534701,-0.05761252,-0.015973655,-0.127490625
"3101","Pik3r3",0.401089685,0.181539875,0.18345879,0.233363875,0.22375083,0.10725277,0.12907832,0.2563855,0.23563738,0.23951781,0.03988587,0.15767244,0.148243935,0.215321485,0.224974855,0.12399906,0.183803965,0.20803427,0.43652965,0.22671642,0.35658281,0.17498967,0.47432433,0.452289105,0.25532122,0.264977195,0.28881059,0.38508781,0.301780395,0.87525242,0.146820495,0.187346045,0.28495897,0.05833035,0.064333455,0.37616129,0.434545185,0.28801198,0.166326715,0.36855958
"3124","Ptk2",-0.339432108,-0.300381313,-0.293168833,-0.29214077,-0.358945875,-0.33294817,-0.285187763,-0.44142889,-0.378371028,-0.34541023,-0.40496486,-0.382454995,-0.370908955,-0.28533418,-0.2660373,-0.32495174,-0.31973714,-0.32213831,-0.40045499,-0.377199535,-0.411515958,-0.282157538,-0.3685435,-0.335015568,-0.413829375,-0.33700355,-0.30860975,-0.382978065,-0.32752345,-0.52290985,-0.291255545,-0.4051944,-0.228442853,-0.373802988,-0.297831465,-0.3794446,-0.4260352,-0.323398003,-0.363987073,-0.22840561
"3210","Nras",-0.17316206,-0.11668671,-0.0668977,-0.017730545,-0.08468222,0.059340745,-0.11959496,-0.136141725,-0.12292889,-0.204897185,-0.15026918,-0.00316359,0.012049915,-0.14736081,-0.21169374,-0.13950845,-0.072413865,-0.09376684,-0.18506376,-0.103597035,-0.159422955,-0.14069824,0.106307955,-0.133078065,-0.068156295,0.013009335,-0.13781535,-0.18989486,-0.195179055,-0.02483706,-0.225485035,-0.030180495,0.050644195,-0.112913175,-0.01792159,-0.136002635,-0.10210823,-0.04311886,-0.091141545,-0.16070858
"3269","Nos3",-2.2061712,-2.2669727,-2.4653176,-2.6115588,-1.9282939,-1.8380537,-2.4321641,-1.8432041,-1.8380907,-2.191213,-2.161879,-2.053703,-2.0090372,-2.0208786,-1.9648413,-2.8237393,-1.8273863,-2.202504,-2.3865189,-2.2281743,-1.930754,-2.3413488,-1.8481337,-2.2110578,-1.9100664,-1.9333034,-2.1318426,-1.6681267,-1.910209,-1.2181384,-2.4927505,-2.0291289,-2.1922037,-2.6286734,-2.1375967,-1.9302493,-2.0118852,-2.1368736,-2.3826026,-2.1836219
"3345","Pik3r1",-0.373871815,-0.35495854,-0.33139667,-0.376997485,-0.317573965,-0.55785608,-0.7247734,-0.57961452,-0.61069515,-0.461456035,-0.6976857,-0.52877431,-0.38740567,-0.7183033,-0.569412465,-0.6195255,-0.461048965,-0.5981992,-0.39248284,-0.58362532,-0.312809515,-0.255952315,-0.33795258,-0.471177535,-0.41183668,-0.42465505,-0.56000905,-0.48171231,-0.61638185,-0.6056121,-0.592679075,-0.5509105,-0.33043238,-0.6125027,-0.51054661,-0.515988885,-0.52074928,-0.43895661,-0.40038339,-0.41660203
"3443","Pik3ca",-0.16882578,-0.19559662,-0.093476648,-0.239069963,-0.192881085,-0.206327603,-0.20584956,-0.171625893,-0.218121118,-0.130594783,-0.150241053,-0.275767488,-0.195332873,-0.185103173,-0.130708193,-0.171266805,-0.209576745,-0.157209088,-0.152892818,-0.280190115,-0.186867245,-0.106323258,-0.193458895,-0.19477381,-0.233126525,-0.269173415,-0.211237105,-0.079515863,-0.176409333,0.495634258,-0.103360883,-0.182333643,-0.176599758,-0.239693828,-0.296223483,-0.086762993,-0.16977558,-0.24710557,-0.097548258,-0.189380013
"4059","Ppp3cb",-0.398070997,-0.4661058,-0.402022403,-0.45269001,-0.521903973,-0.54196883,-0.45033269,-0.393280993,-0.42016868,-0.528290907,-0.496726577,-0.468029313,-0.431457517,-0.32378298,-0.459279663,-0.510979317,-0.42326664,-0.475834767,-0.350219303,-0.42506181,-0.398142307,-0.348486663,-0.51722236,-0.399396553,-0.375634257,-0.447880417,-0.488982887,-0.41654136,-0.354663037,-0.0387652,-0.41786822,-0.44788559,-0.460098937,-0.409441763,-0.34675342,-0.382284237,-0.491021433,-0.455144857,-0.39117731,-0.339407887
"4141","Map2k2",-0.2052783,-0.28592605,-0.25493485,-0.3815674,-0.27575695,-0.17570915,-0.32034225,-0.20934915,-0.312205,-0.24125295,-0.25464315,-0.1749504,-0.3024865,-0.22805875,-0.27970785,-0.243871,-0.2657937,-0.234319,-0.2847317,-0.28878225,-0.2733009,-0.25568165,-0.23215131,-0.31491685,-0.33898395,-0.09776279,-0.2771579,-0.29544265,-0.3166449,-0.52202999,-0.329229,-0.22428845,-0.28172265,-0.30034325,-0.1938834,-0.31798135,-0.2923365,-0.29948345,-0.3658011,-0.2114781
