"","Gene.Name","Expressionb","Expression","Expression.1","Expression.2","Expression.3","Expression.4","Expression.5","Expression.6","Expression.7","Expression.8","Expression.9","Expression.10","Expression.11","Expression.12","Expression.13","Expression.14","Expression.15","Expression.16","Expression.17","Expression.18","Expression.19","Expression.20","Expression.21","Expression.22","Expression.23","Expression.24","Expression.25","Expression.26","Expression.27","Expression.28","Expression.29","Expression.30","Expression.31","Expression.32","Expression.33","Expression.34","Expression.35","Expression.36","Expression.37","Expression.38"
"5737","Pla2g12b",-0.52145425,-0.4748025,-0.54669455,-0.6835554,-0.715908,-0.8817993,-0.62085005,-0.72275825,-0.63265435,-0.68780695,-0.6666135,-0.6613586,-0.60279535,-0.5936015,-0.7418535,-0.85076915,-0.5586339,-0.58737015,-0.5382424,-0.74845075,-0.6026268,-0.4204069,-0.70163535,-0.39403035,-0.55600745,-0.60712015,-0.5844148,-0.55207145,-0.5702831,-0.640079,-0.7164266,-0.85055995,-0.6321627,-0.4620097,-0.65153125,-0.53358345,-0.54595575,-0.5101918,-0.6674229,-0.508353
"5873","Nfatc3",0.91928642,1.04727652,1.02543371,1.16756565,0.91495641,0.96970953,1.18573829,1.13757133,1.10824849,1.33784567,1.29295775,0.79081509,1.25871698,1.13930711,1.19479572,0.82492921,0.93046857,1.15420221,1.16735236,1.23130861,0.86738541,0.99385684,1.27874759,1.06315676,0.99181155,1.19867732,0.83158526,1.11989076,1.09111699,1.26322427,1.15523936,1.23750432,1.13168348,0.75060696,1.06314773,1.08391177,1.19364638,1.26754467,0.76366647,1.14399222
"5885","Mapk14",-0.100564923,0.05979727,0.001722163,0.1250577,0.078131847,0.188566733,0.09779896,0.14061862,0.112621507,0.288017737,0.219688403,0.012083027,0.184477647,0.12849175,0.118376097,-0.009551743,0.035133787,0.090357733,0.09104342,0.179351427,0.09165764,0.04357886,0.199240213,-0.104505773,0.01476258,0.23486105,0.081546377,0.059805687,0.08519793,0.2608339,0.175125683,0.208497293,0.132492837,-0.191924757,0.10860698,0.084583473,0.140393007,0.196246113,-0.000599397,0.16094834
"6385","Ppp3ca",0.486982537,0.44933399,0.51991034,0.526958257,0.606864993,0.448488793,0.444037167,0.367382127,0.509591617,0.464901723,0.4711614,0.479664447,0.440246573,0.40569055,0.355270753,0.398229103,0.596988717,0.543646207,0.495368623,0.567854947,0.555568647,0.458423057,0.482371683,0.456931447,0.395901373,0.387504807,0.608791817,0.453553387,0.530527117,0.456250193,0.47624074,0.396113983,0.537399333,0.484873177,0.495350437,0.543631923,0.508994743,0.56059583,0.521337103,0.50374922
"6504","Hras1",-0.3115856,-0.6707933,-0.4941599,-0.5341622,-0.3731065,-0.5970152,-0.5356016,-0.3942472,-0.5594199,-0.4895266,-0.4749251,-0.4497455,-0.5000785,-0.4798469,-0.485791,-0.6872048,-0.4358989,-0.5626715,-0.615171,-0.6568114,-0.4658815,-0.7027284,-0.6684427,-0.2556334,-0.5812292,-0.3534257,-0.3382545,-0.4063124,-0.7069221,-0.4740701,-0.3986764,-0.6925463,-0.3527541,-0.5918862,-0.3448323,-0.3538862,-0.3909358,-0.3351637,-0.4184748,-0.4609714
"6724","Hspb1",-0.3152554,-0.1717548,-0.1393608,-0.1780551,0.1703553,-0.2352352,-0.0165029,-0.0717436,-0.0387082,0.17113974,-0.3612566,0.09661372,-0.1694754,0.00610489,-0.039729,-0.0983155,0.03395987,-0.0583389,-0.057852,-0.026921,-0.0937377,-0.04239,-0.1357488,-0.4276994,-0.1539139,-0.1490209,-0.1874903,-0.1570923,-0.2242702,-0.0759899,-0.2376117,-0.0805357,-0.189866,-0.2959182,-0.2237744,-0.1642023,0.01518912,-0.1772629,-0.0030969,-0.0238232
"7165","Lad1",-0.00809083,0.19652479,0.195443395,0.128489725,0.233300915,0.2429904,0.270858035,0.11511899,0.099597085,0.37598817,0.0932549,0.316534885,0.15022411,0.29046446,0.318071655,0.39328435,0.34499619,0.16759256,0.23386694,0.212461195,0.22010087,0.19412832,0.102456405,-0.11693778,0.26258985,0.230179815,0.11965071,0.20047262,0.27396459,0.28135633,0.283206335,0.269878155,0.14205749,0.21940145,0.202079915,0.230435665,0.25023531,0.15819389,0.43480574,0.24434451
"7753","Nfatc3",-1.9285191,-1.720773,-1.7269986,-1.7986049,-1.5743308,-1.2762994,-1.5632926,-1.4003241,-1.4841682,-1.4046132,-1.438252,-1.4692423,-0.9900664,-1.2030316,-1.3692031,-1.3765445,-1.7964308,-1.6812957,-1.7788605,-1.536802,-1.5301548,-1.458467,-1.3261245,-1.8066831,-1.6544647,-1.4275948,-1.6385577,-1.8427993,-1.6246914,-1.3064969,-1.5352473,-1.5803494,-1.6473456,-1.880627,-1.6023993,-1.6698456,-1.7746219,-1.5328664,-1.4665449,-1.6721275
"8085","Ppp3r1",-0.4753155,-0.3851206,-0.5333131,-0.5771175,-0.419403,-0.568012,-0.5961723,-0.6697083,-0.5786042,-0.4145118,-0.7006964,-0.4587827,-0.6812916,-0.5679436,-0.6130751,-0.650424,-0.4062764,-0.5409383,-0.5689241,-0.6984148,-0.3356168,-0.4142693,-0.6927727,-0.7005486,-0.4794707,-0.513997,-0.467031,-0.4599267,-0.6085145,-0.5605355,-0.5097543,-0.6859578,-0.6211256,-0.3602667,-0.7659339,-0.6182981,-0.4447413,-0.6997178,-0.5683878,-0.7702053
"8086","Pla2g4a",-0.3460511,-0.2114106,-0.2859489,-0.2197037,-0.1104827,-0.1623389,-0.2672034,-0.2923053,-0.2163945,-0.4020381,-0.2281238,-0.2534081,-0.2564643,-0.2736654,-0.2713055,-0.1499127,-0.3769547,-0.2934476,-0.1774563,-0.1639307,-0.3101579,-0.4375524,-0.2172646,-0.290215,-0.2129398,-0.2925847,-0.1460192,-0.2843736,-0.1840102,-0.2934741,-0.3635158,-0.1554974,-0.1810499,-0.2313065,-0.1557616,-0.326133,-0.2813887,-0.358473,-0.2347235,-0.1129848
"8201","Plcg1",1.10449212,0.34643434,0.69926579,0.12580439,0.41829956,-0.5852029,0.83496246,0.4247423,0.30122621,-0.7409297,-0.6476237,0.33474836,-0.3895508,0.43420654,0.34621886,0.24959593,0.03449029,0.44274008,0.33144397,-0.1365664,0.38374033,0.696964,-0.0982102,1.01304651,0.61102712,0.06388173,0.27147574,0.73912764,0.57149447,-0.1004793,0.48320905,-0.2392144,0.4199623,0.67119243,0.54840799,0.46410748,0.12493926,0.29839262,0.32633491,0.51698508
"8724","Mapk3",-0.0175879,0.01088846,-0.1321058,0.17203268,0.02529758,0.23788457,0.05635543,0.22540887,0.19937347,0.18031134,0.33827653,0.02191468,0.39909041,0.27354001,0.1400527,0.17260116,-0.1836943,0.01718094,0.25391353,0.13622723,-0.1932476,-0.0736255,0.32117341,0.11292984,0.04906454,0.09602907,-0.0540762,0.0313408,0.09746792,0.25539789,0.09400022,0.21130274,0.0674993,-0.1521928,0.14389549,0.12663384,0.06146338,0.11103892,-0.1631964,0.25630599
"8814","Casp9",-0.1471663,-0.2457677,-0.1246098,-0.2167125,-0.2405931,-0.4778174,-0.1988988,-0.2502058,-0.4010867,-0.3635921,-0.4048958,-0.334531,-0.3292334,-0.216236,-0.3992316,-0.2951152,-0.1683073,-0.2414032,-0.2643438,-0.2296973,-0.0772687,-0.1497989,-0.3791798,-0.147413,-0.1301414,-0.3685611,-0.1454718,-0.2706986,-0.3120333,-0.3190184,-0.3417633,-0.3508808,-0.2149392,-0.0852541,-0.1273024,-0.1852037,-0.3495668,-0.0860321,-0.1396577,-0.2376566
